# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.005005005    0.000490140    0.000490140    0.000490139
    0.010010010    0.000980289    0.000980288    0.000980287
    0.015015015    0.001470454    0.001470454    0.001470452
    0.020020020    0.001960646    0.001960645    0.001960643
    0.025025025    0.002450871    0.002450871    0.002450867
    0.030030030    0.002941140    0.002941139    0.002941135
    0.035035035    0.003431460    0.003431459    0.003431454
    0.040040040    0.003921840    0.003921839    0.003921834
    0.045045045    0.004412288    0.004412288    0.004412282
    0.050050050    0.004902814    0.004902813    0.004902807
    0.055055055    0.005393426    0.005393425    0.005393417
    0.060060060    0.005884132    0.005884131    0.005884123
    0.065065065    0.006374941    0.006374940    0.006374931
    0.070070070    0.006865861    0.006865860    0.006865851
    0.075075075    0.007356902    0.007356901    0.007356891
    0.080080080    0.007848072    0.007848070    0.007848059
    0.085085085    0.008339379    0.008339377    0.008339365
    0.090090090    0.008830831    0.008830830    0.008830818
    0.095095095    0.009322439    0.009322437    0.009322425
    0.100100100    0.009814210    0.009814208    0.009814195
    0.105105105    0.010306153    0.010306151    0.010306137
    0.110110110    0.010798277    0.010798275    0.010798260
    0.115115115    0.011290590    0.011290587    0.011290572
    0.120120120    0.011783101    0.011783098    0.011783082
    0.125125125    0.012275818    0.012275816    0.012275799
    0.130130130    0.012768751    0.012768748    0.012768731
    0.135135135    0.013261908    0.013261905    0.013261887
    0.140140140    0.013755298    0.013755295    0.013755276
    0.145145145    0.014248929    0.014248926    0.014248907
    0.150150150    0.014742811    0.014742808    0.014742788
    0.155155155    0.015236951    0.015236948    0.015236927
    0.160160160    0.015731359    0.015731356    0.015731335
    0.165165165    0.016226044    0.016226041    0.016226019
    0.170170170    0.016721014    0.016721011    0.016720988
    0.175175175    0.017216279    0.017216275    0.017216252
    0.180180180    0.017711846    0.017711843    0.017711818
    0.185185185    0.018207725    0.018207722    0.018207697
    0.190190190    0.018703925    0.018703921    0.018703896
    0.195195195    0.019200454    0.019200450    0.019200424
    0.200200200    0.019697322    0.019697318    0.019697291
    0.205205205    0.020194537    0.020194533    0.020194505
    0.210210210    0.020692108    0.020692104    0.020692076
    0.215215215    0.021190044    0.021190040    0.021190011
    0.220220220    0.021688354    0.021688350    0.021688321
    0.225225225    0.022187048    0.022187043    0.022187013
    0.230230230    0.022686133    0.022686129    0.022686098
    0.235235235    0.023185620    0.023185615    0.023185584
    0.240240240    0.023685516    0.023685512    0.023685479
    0.245245245    0.024185832    0.024185827    0.024185794
    0.250250250    0.024686576    0.024686571    0.024686537
    0.255255255    0.025187757    0.025187752    0.025187718
    0.260260260    0.025689385    0.025689379    0.025689345
    0.265265265    0.026191468    0.026191462    0.026191427
    0.270270270    0.026694015    0.026694010    0.026693974
    0.275275275    0.027197037    0.027197031    0.027196995
    0.280280280    0.027700541    0.027700536    0.027700498
    0.285285285    0.028204538    0.028204533    0.028204494
    0.290290290    0.028709037    0.028709031    0.028708992
    0.295295295    0.029214046    0.029214040    0.029214000
    0.300300300    0.029719575    0.029719569    0.029719529
    0.305305305    0.030225634    0.030225628    0.030225587
    0.310310310    0.030732231    0.030732225    0.030732183
    0.315315315    0.031239376    0.031239370    0.031239328
    0.320320320    0.031747080    0.031747073    0.031747030
    0.325325325    0.032255350    0.032255343    0.032255300
    0.330330330    0.032764196    0.032764190    0.032764145
    0.335335335    0.033273628    0.033273622    0.033273577
    0.340340340    0.033783656    0.033783650    0.033783604
    0.345345345    0.034294289    0.034294282    0.034294236
    0.350350350    0.034805536    0.034805530    0.034805482
    0.355355355    0.035317408    0.035317401    0.035317353
    0.360360360    0.035829913    0.035829906    0.035829858
    0.365365365    0.036343062    0.036343055    0.036343006
    0.370370370    0.036856864    0.036856857    0.036856807
    0.375375375    0.037371329    0.037371322    0.037371271
    0.380380380    0.037886467    0.037886459    0.037886408
    0.385385385    0.038402287    0.038402279    0.038402227
    0.390390390    0.038918799    0.038918792    0.038918739
    0.395395395    0.039436014    0.039436006    0.039435953
    0.400400400    0.039953940    0.039953933    0.039953879
    0.405405405    0.040472589    0.040472582    0.040472527
    0.410410410    0.040991970    0.040991962    0.040991907
    0.415415415    0.041512093    0.041512085    0.041512029
    0.420420420    0.042032968    0.042032960    0.042032903
    0.425425425    0.042554605    0.042554597    0.042554540
    0.430430430    0.043077015    0.043077007    0.043076948
    0.435435435    0.043600207    0.043600199    0.043600140
    0.440440440    0.044124192    0.044124184    0.044124124
    0.445445445    0.044648980    0.044648971    0.044648911
    0.450450450    0.045174581    0.045174573    0.045174511
    0.455455455    0.045701006    0.045700997    0.045700935
    0.460460460    0.046228265    0.046228256    0.046228193
    0.465465465    0.046756368    0.046756359    0.046756296
    0.470470470    0.047285326    0.047285317    0.047285253
    0.475475475    0.047815150    0.047815140    0.047815076
    0.480480480    0.048345849    0.048345840    0.048345774
    0.485485485    0.048877435    0.048877426    0.048877360
    0.490490490    0.049409918    0.049409909    0.049409842
    0.495495495    0.049943309    0.049943300    0.049943232
    0.500500501    0.050477619    0.050477610    0.050477541
    0.505505506    0.051012858    0.051012849    0.051012780
    0.510510511    0.051549038    0.051549028    0.051548958
    0.515515516    0.052086168    0.052086158    0.052086088
    0.520520521    0.052624261    0.052624251    0.052624180
    0.525525526    0.053163327    0.053163317    0.053163245
    0.530530531    0.053703377    0.053703366    0.053703294
    0.535535536    0.054244422    0.054244411    0.054244338
    0.540540541    0.054786473    0.054786463    0.054786389
    0.545545546    0.055329542    0.055329532    0.055329457
    0.550550551    0.055873640    0.055873629    0.055873554
    0.555555556    0.056418777    0.056418767    0.056418691
    0.560560561    0.056964967    0.056964956    0.056964879
    0.565565566    0.057512219    0.057512208    0.057512130
    0.570570571    0.058060545    0.058060534    0.058060456
    0.575575576    0.058609957    0.058609946    0.058609867
    0.580580581    0.059160467    0.059160456    0.059160376
    0.585585586    0.059712086    0.059712075    0.059711994
    0.590590591    0.060264825    0.060264814    0.060264733
    0.595595596    0.060818697    0.060818686    0.060818604
    0.600600601    0.061373714    0.061373702    0.061373620
    0.605605606    0.061929887    0.061929875    0.061929792
    0.610610611    0.062487228    0.062487216    0.062487132
    0.615615616    0.063045749    0.063045737    0.063045652
    0.620620621    0.063605462    0.063605451    0.063605365
    0.625625626    0.064166380    0.064166368    0.064166282
    0.630630631    0.064728515    0.064728503    0.064728416
    0.635635636    0.065291879    0.065291867    0.065291779
    0.640640641    0.065856483    0.065856471    0.065856383
    0.645645646    0.066422342    0.066422330    0.066422241
    0.650650651    0.066989467    0.066989454    0.066989364
    0.655655656    0.067557870    0.067557858    0.067557767
    0.660660661    0.068127565    0.068127552    0.068127461
    0.665665666    0.068698564    0.068698551    0.068698459
    0.670670671    0.069270879    0.069270867    0.069270774
    0.675675676    0.069844524    0.069844512    0.069844418
    0.680680681    0.070419512    0.070419499    0.070419405
    0.685685686    0.070995855    0.070995842    0.070995747
