# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    10.130689433   10.130689637   10.130687534
    0.000000000   10.760089615   10.760067311   10.759991753
    0.005005005   10.760101852   10.760079549   10.760003990
    0.010010010   10.760138564   10.760116260   10.760040702
    0.015015015   10.760199751   10.760177447   10.760101889
    0.020020020   10.760285414   10.760263110   10.760187552
    0.025025025   10.760395555   10.760373251   10.760297692
    0.030030030   10.760530175   10.760507872   10.760432313
    0.035035035   10.760689278   10.760666974   10.760591415
    0.040040040   10.760872865   10.760850562   10.760775002
    0.045045045   10.761080941   10.761058637   10.760983077
    0.050050050   10.761313508   10.761291204   10.761215644
    0.055055055   10.761570570   10.761548266   10.761472706
    0.060060060   10.761852133   10.761829829   10.761754268
    0.065065065   10.762158201   10.762135897   10.762060336
    0.070070070   10.762488779   10.762466475   10.762390913
    0.075075075   10.762843873   10.762821569   10.762746007
    0.080080080   10.763223490   10.763201186   10.763125623
    0.085085085   10.763627635   10.763605331   10.763529768
    0.090090090   10.764056317   10.764034013   10.763958449
    0.095095095   10.764509542   10.764487238   10.764411673
    0.100100100   10.764987319   10.764965014   10.764889449
    0.105105105   10.765489655   10.765467350   10.765391784
    0.110110110   10.766016559   10.765994255   10.765918688
    0.115115115   10.766568042   10.766545737   10.766470170
    0.120120120   10.767144111   10.767121806   10.767046238
    0.125125125   10.767744778   10.767722473   10.767646904
    0.130130130   10.768370053   10.768347748   10.768272178
    0.135135135   10.769019947   10.768997642   10.768922071
    0.140140140   10.769694471   10.769672165   10.769596594
    0.145145145   10.770393636   10.770371331   10.770295758
    0.150150150   10.771117456   10.771095151   10.771019577
    0.155155155   10.771865943   10.771843637   10.771768063
    0.160160160   10.772639110   10.772616804   10.772541228
    0.165165165   10.773436970   10.773414664   10.773339087
    0.170170170   10.774259538   10.774237231   10.774161654
    0.175175175   10.775106827   10.775084521   10.775008942
    0.180180180   10.775978853   10.775956547   10.775880966
    0.185185185   10.776875631   10.776853324   10.776777743
    0.190190190   10.777797177   10.777774870   10.777699287
    0.195195195   10.778743507   10.778721199   10.778645616
    0.200200200   10.779714637   10.779692329   10.779616744
    0.205205205   10.780710584   10.780688277   10.780612690
    0.210210210   10.781731367   10.781709059   10.781633471
    0.215215215   10.782777003   10.782754695   10.782679105
    0.220220220   10.783847509   10.783825201   10.783749610
