# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000    7.375585287    7.375585535    7.375581897
    0.005005005    7.375239448    7.375239696    7.375236058
    0.010010010    7.374721495    7.374721743    7.374718106
    0.015015015    7.374181971    7.374182220    7.374178583
    0.020020020    7.373622700    7.373622949    7.373619313
    0.025025025    7.373043698    7.373043947    7.373040312
    0.030030030    7.372444977    7.372445226    7.372441591
    0.035035035    7.371826545    7.371826794    7.371823160
    0.040040040    7.371188415    7.371188664    7.371185031
    0.045045045    7.370530597    7.370530846    7.370527214
    0.050050050    7.369853104    7.369853354    7.369849722
    0.055055055    7.369155948    7.369156198    7.369152567
    0.060060060    7.368439141    7.368439391    7.368435761
    0.065065065    7.367702697    7.367702947    7.367699318
    0.070070070    7.366946628    7.366946878    7.366943250
    0.075075075    7.366170948    7.366171198    7.366167571
    0.080080080    7.365375672    7.365375922    7.365372296
    0.085085085    7.364560814    7.364561064    7.364557438
    0.090090090    7.363726388    7.363726638    7.363723013
    0.095095095    7.362872410    7.362872660    7.362869036
    0.100100100    7.361998895    7.361999145    7.361995523
    0.105105105    7.361105860    7.361106110    7.361102488
    0.110110110    7.360193320    7.360193570    7.360189949
    0.115115115    7.359261292    7.359261543    7.359257923
    0.120120120    7.358309794    7.358310044    7.358306426
    0.125125125    7.357338842    7.357339093    7.357335475
    0.130130130    7.356348455    7.356348706    7.356345089
    0.135135135    7.355338651    7.355338901    7.355335285
    0.140140140    7.354309447    7.354309698    7.354306083
    0.145145145    7.353260864    7.353261115    7.353257501
    0.150150150    7.352192920    7.352193170    7.352189558
    0.155155155    7.351105634    7.351105885    7.351102274
    0.160160160    7.349999028    7.349999279    7.349995668
    0.165165165    7.348873120    7.348873371    7.348869762
    0.170170170    7.347727932    7.347728183    7.347724575
    0.175175175    7.346563486    7.346563737    7.346560129
    0.180180180    7.345379801    7.345380052    7.345376446
    0.185185185    7.344176900    7.344177151    7.344173546
    0.190190190    7.342954805    7.342955056    7.342951453
    0.195195195    7.341713539    7.341713790    7.341710188
    0.200200200    7.340453124    7.340453376    7.340449774
    0.205205205    7.339173584    7.339173835    7.339170235
    0.210210210    7.337874942    7.337875193    7.337871594
    0.215215215    7.336557222    7.336557473    7.336553875
    0.220220220    7.335220447    7.335220699    7.335217102
    0.225225225    7.333864644    7.333864895    7.333861300
    0.230230230    7.332489836    7.332490087    7.332486494
    0.235235235    7.331096049    7.331096300    7.331092708
    0.240240240    7.329683308    7.329683560    7.329679969
    0.245245245    7.328251640    7.328251891    7.328248302
    0.250250250    7.326801070    7.326801322    7.326797734
    0.255255255    7.325331626    7.325331878    7.325328291
    0.260260260    7.323843334    7.323843586    7.323840000
